ticker,method,order_fraction,participation_limit,cost_scenario,sessions,mean_completion,mean_shortfall_bps,mean_vwap_slippage_bps
MSFT,POV,0.01,0.05,base,20,1.0,3.4907793766674766,11.99919615438838
MSFT,POV,0.01,0.05,high,20,1.0,7.678974821898295,16.19057717094119
MSFT,POV,0.01,0.05,low,20,1.0,1.3966816540525886,9.903505646112865
MSFT,POV,0.01,0.1,base,20,1.0,5.14518059142947,13.691320617695956
MSFT,POV,0.01,0.1,high,20,1.0,10.203164394187821,18.7528312232918
MSFT,POV,0.01,0.1,low,20,1.0,2.6161886900492113,11.16056531489623
MSFT,POV,0.01,0.2,base,20,1.0,6.320438702551216,14.898374882750087
MSFT,POV,0.01,0.2,high,20,1.0,12.568142527325909,21.1501395798574
MSFT,POV,0.01,0.2,low,20,1.0,3.1965867901616414,11.772492534193933
MSFT,POV,0.03,0.05,base,20,1.0,1.9280733342852556,10.252866342585211
MSFT,POV,0.03,0.05,high,20,1.0,6.162027785565691,14.490347120233949
MSFT,POV,0.03,0.05,low,20,1.0,-0.18890389135455893,8.134125953760618
MSFT,POV,0.03,0.1,base,20,1.0,1.6101463666322509,10.071496731451413
MSFT,POV,0.03,0.1,high,20,1.0,6.728706058747727,15.19404943413044
MSFT,POV,0.03,0.1,low,20,1.0,-0.9491334794259878,7.5102203801110665
MSFT,POV,0.03,0.2,base,20,1.0,7.009049728634736,15.533889945150758
MSFT,POV,0.03,0.2,high,20,1.0,13.365353360464207,21.894680293310596
MSFT,POV,0.03,0.2,low,20,1.0,3.8308979127161207,12.353494771067062
MSFT,POV,0.05,0.05,base,20,0.9003144064229209,-0.6631827936022174,6.873007964293798
MSFT,POV,0.05,0.05,high,20,0.9003144064229209,3.147167971942875,11.109083217004878
MSFT,POV,0.05,0.05,low,20,0.9003144064229209,-2.568358176373747,4.754970337939701
MSFT,POV,0.05,0.1,base,20,1.0,3.410525658039343,11.77856133449523
MSFT,POV,0.05,0.1,high,20,1.0,8.564741568817029,16.937062227372735
MSFT,POV,0.05,0.1,low,20,1.0,0.8334177026516537,9.19931088805792
MSFT,POV,0.05,0.2,base,20,1.0,4.548413680450988,13.035597666981868
MSFT,POV,0.05,0.2,high,20,1.0,10.942805064841652,19.434803791171298
MSFT,POV,0.05,0.2,low,20,1.0,1.3512179882540796,9.835994604885212
MSFT,TWAP,0.01,0.05,base,20,1.0,-6.563652698806777,1.5935889327657882
MSFT,TWAP,0.01,0.05,high,20,1.0,-3.3209085588138207,4.838947885719702
MSFT,TWAP,0.01,0.05,low,20,1.0,-8.185024768803435,-0.02909054371169626
MSFT,TWAP,0.01,0.1,base,20,1.0,-6.5630089618864655,1.5942374382726943
MSFT,TWAP,0.01,0.1,high,20,1.0,-3.316853648130512,4.84300977706903
MSFT,TWAP,0.01,0.1,low,20,1.0,-8.186086618765248,-0.030148731126166874
MSFT,TWAP,0.01,0.2,base,20,1.0,-6.562842286177566,1.5944042984514795
MSFT,TWAP,0.01,0.2,high,20,1.0,-3.3165009168636166,4.843362831361275
MSFT,TWAP,0.01,0.2,low,20,1.0,-8.186012970834934,-0.03007496800339062
MSFT,TWAP,0.03,0.05,base,20,0.9931117263507667,-5.704361205905597,2.378604730567891
MSFT,TWAP,0.03,0.05,high,20,0.9931117263507667,-1.748678540723938,6.365487499160216
MSFT,TWAP,0.03,0.05,low,20,0.9931117263507667,-7.682202538489972,0.3851633462782499
MSFT,TWAP,0.03,0.1,base,20,1.0,-5.670958375857106,2.4867474488677876
MSFT,TWAP,0.03,0.1,high,20,1.0,-1.536509164585683,6.624522452254643
MSFT,TWAP,0.03,0.1,low,20,1.0,-7.73818298149381,0.41785994717313824
MSFT,TWAP,0.03,0.2,base,20,1.0,-5.650417993848157,2.5075488565028947
MSFT,TWAP,0.03,0.2,high,20,1.0,-1.4921217030456437,6.669180247464712
MSFT,TWAP,0.03,0.2,low,20,1.0,-7.729566139249789,0.4267331610215421
MSFT,TWAP,0.05,0.05,base,20,0.802940138652346,-7.1808550728656355,0.6465364461322176
MSFT,TWAP,0.05,0.05,high,20,0.802940138652346,-3.85732124225204,4.794885201943377
MSFT,TWAP,0.05,0.05,low,20,0.802940138652346,-8.842621988172525,-1.4276379317726962
MSFT,TWAP,0.05,0.1,base,20,1.0,-5.201688856698377,2.954895336972241
MSFT,TWAP,0.05,0.1,high,20,1.0,-0.5532477128931639,7.607083728340902
MSFT,TWAP,0.05,0.1,low,20,1.0,-7.525909428596127,0.6288011412929341
